Actual,Predicted,Absolute Error,Squared Error
184.8000030517578,185.43889678955077,0.6388937377929551,0.40818520819105325
160.8000030517578,162.28760452270507,1.4876014709472543,2.2129581363644344
135.2100067138672,136.56760131835938,1.357594604492192,1.8430631101463113
178.38999938964844,177.67660110473633,0.7133982849121026,0.5089371129155295
143.9600067138672,141.76329971313476,2.196707000732431,4.825521647066872
175.83999633789062,175.87040176391602,0.03040542602539631,0.0009244899317858472
150.8699951171875,151.84919876098633,0.9792036437988259,0.9588397760288978
180.7100067138672,177.39830322265624,3.311703491210949,10.967380013698786
176.57000732421875,176.35319900512695,0.21680831909179688,0.04700584722741041
190.67999267578125,189.58570098876953,1.0942916870117188,1.1974742962629534
182.88999938964844,182.28710494995119,0.602894439697252,0.3634817054178634
145.42999267578125,142.25169967651368,3.178292999267569,10.10154638919324
171.55999755859375,172.23759994506835,0.6776023864746037,0.4591449941560782
179.07000732421875,175.7617008972168,3.308306427001952,10.944891414942422
190.63999938964844,190.56259674072265,0.07740264892578352,0.0059911700607280976
192.75,193.1624026489258,0.4124026489257915,0.17007594484100963
181.99000549316406,184.5441993713379,2.554193878173834,6.52390636730069
153.7100067138672,153.7584016418457,0.04839492797850653,0.002342069054044834
189.97000122070312,190.2932000732422,0.3231988525390648,0.10445749828256813
170.69000244140625,170.47669784545897,0.21330459594727813,0.04549885065223158
180.9600067138672,181.19320129394532,0.2331945800781341,0.05437971217781729
180.19000244140625,177.37100128173827,2.8190011596679767,7.946767538209397
171.10000610351562,172.20490188598632,1.1048957824706918,1.220794690121522
174.7899932861328,174.422197265625,0.367796020507825,0.13527391270139244
191.80999755859375,189.49570083618164,2.3142967224121094,5.355969319367432
144.2899932861328,142.38539947509764,1.90459381103517,3.6274775850334726
178.85000610351562,184.07830078125,5.228294677734368,27.33506523722552
177.25,178.34369720458983,1.09369720458983,1.1961735753276086
179.5800018310547,180.63119918823242,1.0511973571777276,1.1050158837374389
173.57000732421875,168.49109573364257,5.078911590576183,25.795342944889097
178.72000122070312,177.852303314209,0.8676979064941293,0.7528996569342947
164.89999389648438,162.7788999938965,2.121093902587887,4.499039343595514
185.27000427246094,187.58999633789062,2.3199920654296875,5.382363183656707
148.5,151.063897857666,2.5638978576660065,6.573572224544338
145.92999267578125,142.13319976806642,3.7967929077148312,14.415636384073643
188.61000061035156,188.89250061035156,0.28249999999999886,0.07980624999999936
181.1199951171875,177.0312989807129,4.088696136474596,16.717436096422286
188.05999755859375,189.73779907226563,1.6778015136718807,2.815017919279654
167.4499969482422,168.64229400634767,1.1922970581054813,1.4215722747669854
192.5800018310547,187.05279815673828,5.527203674316411,30.549980457376833
175.0500030517578,173.4302030944824,1.6197999572754043,2.6237519015894013
182.91000366210938,176.505401763916,6.404601898193363,41.018925474342026
195.61000061035156,195.06389953613282,0.5461010742187398,0.2982263832628615
166.64999389648438,166.1517021179199,0.4982917785644645,0.24829469658493733
184.9199981689453,185.02879623413085,0.10879806518553892,0.011837018988116775
186.00999450683594,184.22969787597657,1.7802966308593682,3.1694560938492176
